gnome-desktop 1:3.18.2-1
gnome-dictionary 3.18.1-1
gnome-disk-utility 3.18.3.1-1
gnome-font-viewer 3.16.2-2
gnome-icon-theme 3.12.0-3
gnome-icon-theme-extras 3.12.0-2
gnome-icon-theme-symbolic 3.12.0-3
gnome-keyring 1:3.18.3-1
gnome-keyring-sharp 1.0.2-5
gnome-menus 3.13.3-2
gnome-online-accounts 3.18.2.1-1
gnome-screensaver 3.6.1-13
gnome-screenshot 3.18.0-1
gnome-session 3.18.1.2-1
gnome-settings-daemon 3.18.3-1
gnome-shell 3.18.4-1
gnome-shell-extensions 3.18.4-1
gnome-system-log 3.9.90-1
gnome-system-monitor 3.18.2-2
gnome-terminal 3.18.3-1
gnome-themes-standard 3.18.0-1
gnome-tweak-tool 3.18.1-1
gnome-user-docs 3.18.1-1
gnome-user-share 3.18.1-1
gnome-video-effects 0.4.1-1
gnupg 2.1.11-1
gnuplot 5.0.2-1
gnutls 3.4.10-1
gobject-introspection-runtime 1.46.0-1
gom 0.3.2-1
goocanvas1 1.0.0-3
gperftools 2.4-2
gpgme 1.6.0-2
gpgmepp 15.12.3-1
gpm 1.20.7-6
gptfdisk 1.0.1-2
graphene 1.2.10-1
graphicsmagick 1.3.23-2
graphite 1:1.3.7-1
graphviz 2.38.0-11
grep 2.24-1
grilo 0.2.15-1
grilo-plugins 0.2.17-1
groff 1.22.3-6
grub 1:2.02.beta2-6
gsasl 1.8.0-5
gsettings-desktop-schemas 3.18.1-1
gsfonts 20150811-1
gsl 2.1-1
gsm 1.0.14-1
gst-editing-services 1.6.1-2
gst-plugins-bad 1.6.3-6
gst-plugins-base 1.6.3-1
gst-plugins-base-libs 1.6.3-1
gst-plugins-good 1.6.3-1
gst-python 1.6.2-2
gstreamer 1.6.3-1
gstreamer0.10 0.10.36-4
gstreamer0.10-base 0.10.36-3
gtk-doc 1.24-1
gtk-engine-aurora 1.5.1-4
gtk-engine-murrine 0.98.2-2
gtk-engines 2.21.0-2
gtk-sharp-2 2.12.29-1
gtk-update-icon-cache 3.18.9-1
gtk2 2.24.30-1
gtk2-perl 1.2498-1
gtk3 3.18.9-1
gtkglext 1.2.0-10
gtkmm 2.24.4-2
gtkmm3 3.18.0-2
gtksourceview3 3.18.2-1
gtkspell 2.0.16-3
gts 0.7.6-3
gucharmap 3.18.2-1
guifications 2.16-4
guile 2.0.11-3
gv 3.7.4-2
gvfs 1.26.3-1
gvfs-afc 1.26.3-1
gvfs-goa 1.26.3-1
gvfs-google 1.26.3-1
gvfs-gphoto2 1.26.3-1
gvfs-mtp 1.26.3-1
gvfs-nfs 1.26.3-1
gvfs-smb 1.26.3-1
gzip 1.6-1
haddock 2.16.1-5
harfbuzz 1.2.3-1
harfbuzz-icu 1.2.3-1
haskell-data-default 0.5.3-11
haskell-data-default-class 0.0.1-10
haskell-data-default-instances-base 0.0.1-12
haskell-data-default-instances-containers 0.0.1-10
haskell-data-default-instances-dlist 0.0.1-11
haskell-data-default-instances-old-locale 0.0.1-10
haskell-dlist 0.7.1.2-2
haskell-extensible-exceptions 0.1.1.4-13
haskell-ghc-paths 0.1.0.9-11
haskell-haddock-api 2.16.1-3
haskell-haddock-library 1.2.1-2
haskell-mtl 2.2.1-5
haskell-old-locale 1.0.0.7-7
haskell-old-time 1.1.0.3-7
haskell-random 1.1-5
haskell-setlocale 1.0.0.3-2
haskell-utf8-string 1.0.1.1-1
haskell-x11 1.6.1.2-6
haskell-x11-xft 0.3.1-16
haveged 1.9.1-2
hddtemp 0.3.beta15.52-2
hdf5 1.8.15_patch1-1
hdparm 9.48-1
hicolor-icon-theme 0.15-1
hostapd 2.5-2
hspell 1.3-1
htop 2.0.1-1
http-parser 2.6.2-1
hunspell 1.3.4-1
hunspell-en 2016.01.19-1
hwids 20160306-1
hwloc 1.11.2-2
hyphen 2.8.8-1
iana-etc 20160314-1
ibus 1.5.13-1
ibus-m17n 1.3.4-4
icedtea-web 1.6.2-1
icu 56.1-2
igraph 0.7.1-3
ilmbase 2.2.0-2
imagemagick 6.9.3.7-1
iml 1.0.5-1
imlib2 1.4.7-1
inetutils 1.9.4-2
inkscape 0.91-16
inputproto 2.3.1-1
intel-tbb 4.4_20160128-1
intltool 0.51.0-1
iproute2 4.4.0-1
iptables 1.4.21-3
iputils 20150815.1c59920-3
ipython 4.1.2-2
ipython2 4.1.2-2
irssi 0.8.18-1
iso-codes 3.66-1
itstool 2.0.2-1
iw 4.3-1
jack 0.124.1-6
jansson 2.7-1
jasper 1.900.1-14
java-environment-common 2-2
java-runtime-common 2-2
jdk8-openjdk 8.u77-1
jemalloc 4.1.0-1
jfsutils 1.1.15-4
jre7-openjdk 7.u95_2.6.4-1
jre7-openjdk-headless 7.u95_2.6.4-1
jre8-openjdk 8.u77-1
jre8-openjdk-headless 8.u77-1
js 24.2.0-3
js17 17.0.0-3
json-c 0.12-2
json-glib 1.0.4-1
jsoncpp 1.7.2-1
jupyter 4.1.0-1
jupyter-notebook 4.1.0-2
karchive 5.20.0-1
kauth 5.20.0-1
kbd 2.0.3-1
kbookmarks 5.20.0-1
kbproto 1.0.7-1
kcodecs 5.20.0-1
kcompletion 5.20.0-1
kconfig 5.20.0-1
kconfigwidgets 5.20.0-1
kcoreaddons 5.20.0-1
kcrash 5.20.0-1
kdbusaddons 5.20.0-1
kded 5.20.0-1
kdelibs4support 5.20.0-1
kdesignerplugin 5.20.0-1
kdewebkit 5.20.0-1
kemoticons 5.20.0-1
keyutils 1.5.9-1
kglobalaccel 5.20.0-1
kguiaddons 5.20.0-1
ki18n 5.20.0-1
kiconthemes 5.20.0-1
kinit 5.20.0-1
kio 5.20.0-2
kitemmodels 5.20.0-1
kitemviews 5.20.0-1
kjobwidgets 5.20.0-1
klavaro 3.02-1
kmod 22-1
knotifications 5.20.0-1
knotifyconfig 5.20.0-1
konsole 15.12.3-1
kparts 5.20.0-1
kplotting 5.20.0-1
kpty 5.20.0-1
krb5 1.13.2-3
kservice 5.20.0-1
ktextwidgets 5.20.0-1
kunitconversion 5.20.0-1
kwallet 5.20.0-1
kwidgetsaddons 5.20.0-1
kwindowsystem 5.20.0-1
kxmlgui 5.20.0-1
ladspa 1.13-6
lame 3.99.5-3
lcalc 1.23-10
lcms 1.19-5
lcms2 2.7-1
ldb 1.1.26-1
ldns 1.6.17-4
less 481-2
leveldb 1.18-2
lib32-acl 2.2.52-2
lib32-alsa-lib 1.1.0-1
lib32-alsa-plugins 1.1.0-1
lib32-attr 2.4.47-1
lib32-bzip2 1.0.6-2
lib32-elfutils 0.165-1
lib32-expat 2.1.1-1
lib32-flac 1.3.1-2
lib32-fontconfig 2.11.94-1
lib32-freetype2 2.6.3-1
lib32-gcc-libs 5.3.0-5
lib32-glib2 2.46.2-1
lib32-glibc 2.23-1
lib32-harfbuzz 1.2.3-1
lib32-icu 56.1-2
lib32-json-c 0.12-1
lib32-libasyncns 0.8-7
lib32-libcap 2.25-1
lib32-libdbus 1.10.8-1
lib32-libdrm 2.4.67-1
lib32-libffi 3.2.1-1
lib32-libgcrypt 1.6.5-1
lib32-libglvnd 0.0.0.20160315-1
lib32-libgpg-error 1.21-1
lib32-libice 1.0.9-1
lib32-libidn 1.32-1
lib32-libogg 1.3.2-1
lib32-libpciaccess 0.13.4-1
lib32-libpng 1.6.21-1
lib32-libpulse 8.0-1
lib32-libsm 1.2.2-1
lib32-libsndfile 1.0.26-1
lib32-libstdc++5 3.3.6-7
lib32-libtxc_dxtn 1.0.1-5
lib32-libvorbis 1.3.5-1
lib32-libx11 1.6.3-1
lib32-libxau 1.0.8-1
lib32-libxcb 1.11.1-1
lib32-libxdamage 1.1.4-2
lib32-libxdmcp 1.1.2-1
lib32-libxext 1.3.3-1
lib32-libxfixes 5.0.1-1
lib32-libxi 1.7.6-1
lib32-libxml2 2.9.3-1
lib32-libxrender 0.9.9-1
lib32-libxshmfence 1.2-1
lib32-libxtst 1.2.2-1
lib32-libxv 1.0.10-1
lib32-libxxf86vm 1.1.4-1
lib32-llvm-libs 3.7.1-1
lib32-mesa 11.1.2-1
lib32-mesa-libgl 11.1.2-1
lib32-ncurses 6.0-2
lib32-nvidia-utils 361.28-4
lib32-openal 1.17.2-1
lib32-pcre 8.38-2
lib32-readline 6.3.008-2
lib32-sdl 1.2.15-6
lib32-systemd 229-1
lib32-util-linux 2.27.1-1
lib32-wayland 1.10.0-1
lib32-xz 5.2.2-1
lib32-zlib 1.2.8-1
libabw 0.1.1-2
libaio 0.3.110-1
libantlr3c 3.4-1
libao 1.2.0-1
libarchive 3.1.2-8
libass 0.13.2-1
libassuan 2.4.2-1
libasyncns 0.8-5
libatasmart 0.19-3
libatomic_ops 7.4.2-1
libavc1394 0.5.4-2
libbluray 0.9.2-1
libbsd 0.8.2-2
libcaca 0.99.beta19-1
libcacard 2.5.2-1
libcanberra 0.30-5
libcanberra-pulse 0.30-5
libcap 2.25-1
libcap-ng 0.7.7-1
libcddb 1.3.2-4
libcdio 0.93-3
libcdio-paranoia 10.2+0.93+1-1
libcdr 0.1.2-1
libchamplain 0.12.12-1
libcroco 0.6.11-1
libcue 2.0.1-1
libcups 2.1.3-1
libdaemon 0.14-3
libdatrie 0.2.10-1
libdbus 1.10.8-1
libdbusmenu-qt5 0.9.3+15.10.20150604-3
libdc1394 2.2.3-1
libdca 0.0.5-4
libdiscid 0.6.1-2
libdmapsharing 2.9.32-1
libdmx 1.1.3-1
libdrm 2.4.67-2
libdv 1.0.0-6
libdvbpsi 1:1.3.0-1
libdvdnav 5.0.3-1
libdvdread 5.0.4-1
libe-book 0.1.2-4
libebml 1.3.3-2
libedit 20150325_3.1-2
libelf 0.165-1
libepoxy 1.3.1-1
libetonyek 0.1.6-1
libevdev 1.4.6-1
libevent 2.0.22-2
libexif 0.6.21-2
libffi 3.2.1-1
libfontenc 1.1.3-1
libfplll 20160107-1
libfreexl 1.0.2-1
libftdi-compat 0.20-3
libgadu 1.12.1-2
libgap 4.7.9-1
libgcrypt 1.6.5-1
libgdata 0.17.4-1
libgdiplus 3.12-1
libgdm 3.18.2-1
libgee 0.18.0-1
libgeotiff 1.4.1-2
libgit2 1:0.23.4-3
libgksu 2.0.12-6
libglade 2.6.4-5
libglvnd 0.0.0.20160315-1
libgme 0.6.0-5
libgnome-keyring 3.12.0-2
libgnomekbd 3.6.0-2
libgpg-error 1.21-1
libgphoto2 2.5.9-1
libgsf 1.14.36-1
libgtop 2.32.0-1
libgudev 230-1
libgusb 0.2.9-1
libgweather 3.18.1-1
libgxps 0.2.3.2-1
libibus 1.5.13-1
libical 2.0.0-2
libice 1.0.9-1
libid3tag 0.15.1b-8
libidn 1.32-1
libiec61883 1.2.0-4
libimobiledevice 1.2.0-3
libinput 1.2.2-1
libiodbc 3.52.10-1
libiptcdata 1.0.4-3
libirman 0.4.6-1
libjpeg-turbo 1.4.2-2
libkate 0.4.1-5
libksba 1.3.3-1
liblangtag 0.5.8-2
libldap 2.4.44-1
liblqr 0.4.2-1
libmad 0.15.1b-7
libmariadbclient 10.1.13-1
libmatroska 1.4.4-1
libmbim 1.12.2-2
libmediaart 1.9.0-1
libmm-glib 1.4.12-1
libmms 0.6.4-1
libmng 2.0.3-1
libmodplug 0.8.8.5-2
libmp4v2 2.0.0-4
libmpc 1.0.3-1
libmpcdec 1:0.1+r475-1
libmpdclient 2.10-1
libmpeg2 0.5.1-5
libmspub 0.1.2-4
libmtp 1.1.11-1
libmusicbrainz5 5.1.0-2
libmwaw 0.3.6-2
libnautilus-extension 3.18.5-1
libndp 1.5-1
libnewt 0.52.19-1
libnfs 1.10.0-1
libnice 0.1.13-1
libnl 3.2.27-1
libnm-glib 1.0.10-2
libnotify 0.7.6-2
liboauth 1.0.3-1
libodfgen 0.1.6-1
libofa 0.9.3-6
libogg 1.3.2-1
libomxil-bellagio 0.9.3-1
libosinfo 0.3.0-1
libotf 0.9.13-2
libpagemaker 0.0.3-1
libpaper 1.1.24-9
libpcap 1.7.4-1
libpciaccess 0.13.4-1
libpeas 1.16.0-1
libpgm 5.2.122-2
libphonenumber 7.2.5-1
libpipeline 1.4.1-1
libplist 1.12-4
libpng 1.6.21-1
libproxy 0.4.12-1
libpulse 8.0-3
libpurple 2.10.12-1
libpwquality 1.3.0-1
libqmi 1.12.8-1
libquvi 0.9.4-4
libquvi-scripts 0.9.20131130-3
libraw1394 2.1.1-1
libreoffice-still 5.0.5-1
librevenge 0.0.4-1
librsvg 2:2.40.13-1
libsamplerate 0.1.8-3
libsasl 2.1.26-7
libseccomp 2.2.3-1
libsecret 0.18.5-1
libshout 1:2.4.1-2
libsigc++ 2.8.0-1
libsigsegv 2.10-2
libsm 1.2.2-2
libsndfile 1.0.26-1
libsodium 1.0.8-1
libsoup 2.52.2-1
libsoxr 0.1.2-1
libspatialite 4.3.0.a-1
libspectre 0.2.7-2
libspiro 1:0.5.20150702-1
libsrtp 1:1.5.4-1
libssh 0.7.3-1
libssh2 1.7.0-2
libsynctex 2015.37497-10
libsystemd 229-3
libtar 1.2.20-2
libtasn1 4.7-1
libteam 1.23-1
libthai 0.1.24-1
libtheora 1.1.1-3
libtiff 4.0.6-2
libtiger 0.3.4-4
libtirpc 1.0.1-2
libtool 2.4.6-4
libtracker-sparql 1.6.1-3
libtxc_dxtn 1.0.1-6
libunique3 3.0.2-3
libunistring 0.9.6-1
libunwind 1.1-3
libupnp 1.6.19-1
libusb 1.0.20-1
libusb-compat 0.1.5-1
libusbmuxd 1.0.10-1
libutempter 1.1.6-2
libutil-linux 2.27.1-1
libuv 1.8.0-1
libva 1.7.0-1
libvdpau 1.1.1-2
libvirt 1.3.2-3
libvisio 0.1.5-1
libvisual 0.4.0-6
libvoikko 4.0.2-1
libvorbis 1.3.5-1
libvpx 1.5.0-4
libwacom 0.18-1
libwbclient 4.4.0-1
libwebp 0.5.0-1
libwmf 0.2.8.4-12
libwnck 2.31.0-1
libwnck3 3.14.1-1
libwpd 0.10.1-1
libwpg 0.3.1-1
libwps 0.4.3-1
libx11 1.6.3-1
libx264 2:148.20160103-1
libxau 1.0.8-2
libxaw 1.0.13-1
libxcb 1.11.1-1
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdg-basedir 1.2.0-3
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfce4ui 4.12.1-1
libxfce4util 4.12.1-1
libxfixes 5.0.1-1
libxfont 1.5.1-1
libxft 2.3.2-1
libxi 1.7.6-1
libxinerama 1.1.3-2
libxkbcommon 0.5.0-1
libxkbcommon-x11 0.5.0-1
libxkbfile 1.0.9-1
libxklavier 5.4-1
libxml++ 2.40.1-1
libxml2 2.9.3-1
libxmu 1.1.2-1
libxpm 3.5.11-1
libxrandr 1.5.0-1
libxrender 0.9.9-1
libxres 1.0.7-1
libxshmfence 1.2-1
libxslt 1.1.28-4
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.2-1
libxv 1.0.10-1
libxvmc 1.0.9-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.4-1
libyaml 0.1.6-1
libzip 1.1.2-1
licenses 20140629-1
lightdm 1:1.18.0-1
lightdm-gtk-greeter 1:2.0.1-2
lilv 0.22.0-2
linbox 1.3.2-10
linux 4.4.5-1
linux-api-headers 4.4.1-1
linux-firmware 20160113.40e9ae8-1
linux-headers 4.4.5-1
linuxdcpp 1.1.0-6
lirc 1:0.9.3.a-2
llvm-libs 3.7.1-1
logrotate 3.9.1-1
lpsolve 5.5.2.0-3
lrcalc 1.2-2
lrs 061-1
lsb-release 1.4-14
lsof 4.89-1
lua 5.3.2-1
lua-lgi 0.9.0-1
lua51 5.1.5-4
lua52 5.2.4-1
lua52-bitop 1.0.2-7
lua52-expat 1.3.0-3
lua52-lpeg 1.0.0-1
lua52-luajson 1.3.3-2
lua52-socket 20160311-1
lv2 1.12.0-1
lvm2 2.02.146-1
lxappearance 0.6.2-1
lynx 2.8.8-4
lz4 131-1
lzo 2.09-1
lzop 1.03-5
m17n-db 1.7.0-1
m17n-lib 1.7.0-1
m4 1.4.17-1
m4ri 20140914-1
m4rie 20150908-1
make 4.1-3
man-db 2.7.5-1
man-pages 4.05-1
mariadb 10.1.13-1
mariadb-clients 10.1.13-1
mathjax 2.6.1-1
maxima-ecl 5.37.3-1
mcpp 2.7.2-5
mdadm 3.4-1
media-player-info 22-2
mercurial 3.7.2-1
mesa 11.1.2-1
mesa-libgl 11.1.2-1
mime-types 9-1
mjpegtools 2.1.0-2
mkinitcpio 19-1
mkinitcpio-busybox 1.24.1-1
mlt 6.0.0-1
mlt-python-bindings 6.0.0-1
mobile-broadband-provider-info 20151214-1
mod_dnssd 0.6-6
modemmanager 1.4.12-1
mono 4.4.0.40-2
mono-addins 1.1-1
mousetweaks 3.12.0-1
mozilla-common 1.4-4
mpc 0.27-1
mpd 0.19.14-1
mpfi 1.5.1-1
mpfr 3.1.4-1
mpg123 1.22.4-1
mplayer 37379-7
msmtp 1.6.3-1
msmtp-mta 1.6.3-1
mtdev 1.1.5-1
multitail 6.4.2-1
mutter 3.18.3-2
mysql-python 1.2.5-1
mysql-workbench 6.3.6-4
nano 2.5.3-1
nautilus 3.18.5-1
nautilus-actions 3.2.4-1
nautilus-sendto 3.8.3-1
ncmpcpp 0.7.3-1
ncurses 6.0-4
neon 0.30.1-2
net-tools 1.60.20130531git-1
netcdf 4.3.3.1-2
netcf 0.2.8-3
netctl 1.11-1
nettle 3.2-1
network-manager-applet 1.0.10-1
networkmanager 1.0.10-2
networkmanager-openvpn 1.0.8-1
nm-connection-editor 1.0.10-1
nmap 7.12-1
nodejs 5.9.1-1
notify-osd 0.9.34-2
notify-sharp 0.4.1-2
npm 3.8.3-1
npth 1.2-1
nspr 4.12-1
nss 3.22.1-1
ntfs-3g 2016.2.22-1
ntl 9.6.4-2
numactl 2.0.11-1
numix-themes 2.5.1-1
numlockx 1.2-3
nvidia 361.28-4
nvidia-utils 361.28-5
obconf 2.0.4-3
ocl-icd 2.2.8-1
octave 4.0.0-8
openal 1.17.2-2
openbox 3.6.1-3
opencl-nvidia 361.28-5
opencore-amr 0.1.3-2
opencv 2.4.12.3-1
openexr 2.2.0-3
opengl-man-pages 20160220-1
openjpeg 1.5.2-1
openjpeg2 2.1.0-1
openmpi 1.10.2-1
openresolv 3.7.2-1
openshot 1.4.3-5
openssh 7.2p2-1
openssl 1.0.2.g-3
openvpn 2.3.10-1
opus 1.1.2-1
orc 0.4.25-1
os-prober 1.71-1
p11-kit 0.23.2-1
p7zip 9.38.1-4
pacman 5.0.1-2
pacman-mirrorlist 20160320-1
palp 2.1-1
pam 1.2.1-3
pambase 20130928-1
pandoc 1.17.0.3-3
pango 1.39.0-1
pango-perl 1.227-1
pangomm 2.38.1-2
pangox-compat 0.0.2-2
pari-galdata 20080411-1
pari-sage 2.8.2044.g89b0f1e-1
pari-seadata-small 20090618-1
parted 3.2-3
patch 2.7.5-1
pciutils 3.4.1-1
pcmciautils 018-7
pcre 8.38-3
perf 4.5-1
perl 5.22.1-2
perl-encode-locale 1.05-1
perl-error 0.17024-1
perl-file-basedir 0.07-1
perl-file-listing 6.04-2
perl-file-which 1.21-1
perl-html-parser 3.72-1
perl-html-tagset 3.20-4
perl-http-cookies 6.01-2
perl-http-daemon 6.01-2
perl-http-date 6.02-2
perl-http-message 6.11-2
perl-http-negotiate 6.01-2
perl-io-html 1.001-1
perl-ipc-system-simple 1.25-1
perl-libwww 6.15-1
perl-locale-gettext 1.07-1
perl-lwp-mediatypes 6.02-2
perl-net-http 6.09-1
perl-uri 1.71-1
perl-www-robotrules 6.02-2
perl-xml-parser 2.44-2
phonon-qt5 4.8.3-6
phonon-qt5-gstreamer 4.8.2-4
php 7.0.5-1
php-apache 7.0.5-1
pidgin 2.10.12-1
pidgin-libnotify 0.14-9
pinentry 0.9.7-1
pitivi 0.95-6
pixman 0.34.0-1
pkg-config 0.29.1-1
pkgfile 15-1
planarity 2.2.0-1
polkit 0.113-4
polkit-gnome 0.105-3
polkit-qt5 0.112.0-3
poppler 0.41.0-1
poppler-glib 0.41.0-1
popt 1.16-7
portaudio 19_20140130-3
portsmf 228-2
postgresql 9.5.1-2
postgresql-libs 9.5.1-2
potrace 1.13-1
ppl 1.1-2
ppp 2.4.7-2
procmail 3.22-7
procps-ng 3.3.11-2
proj 4.9.2-1
protobuf 2.6.1-2
protobuf-c 1.2.1-2
psmisc 22.21-3
pulseaudio 8.0-3
pulseaudio-alsa 2-3
purple-plugin-pack 2.7.0-2
pygobject-devel 3.18.2-1
pygobject2-devel 2.28.6-12
pygoocanvas 0.14.1-7
pygtk 2.24.0-6
pynac 0.6.0-1
pyqt5-common 5.5.1-2
python 3.5.1-2
python-babel 2.2.0-1
python-cairo 1.10.0-6
python-cffi 1.5.2-1
python-chardet 2.3.0-2
python-cryptography 1.3.1-1
python-cssselect 0.9.1-3
python-cycler 0.10.0-1
python-dateutil 2.5.2-1
python-dbus 1.2.4-1
python-dbus-common 1.2.4-1
python-decorator 4.0.9-1
python-django 1.9.4-1
python-docutils 0.12-3
python-flask 0.10.1-6
python-gobject 3.18.2-1
python-idna 2.1-1
python-igraph 0.7.1.post6-2
python-ipykernel 4.3.1-1
python-itsdangerous 0.24-2
python-jinja 2.8-2
python-jsonschema 2.5.1-3
python-lxml 3.6.0-1
python-markupsafe 0.23-3
python-matplotlib 1.5.1-2
python-mistune 0.7.2-1
